what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1300103486970
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300103495501
error,log,,,"The program file specified in the launch configuration does not exist",1300103497234
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300103500163
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300103505900
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300103529230
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1300103536082
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1300103553491
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1300103557700
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.selectAll",1300103563052
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1300103563132
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300103567134
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300103567379
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300103568158
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300103569154
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300103571615
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300103573057
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300103593179
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1300103598406
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1300103608185
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1300103624840
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1300103626517
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300103629118
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300103631225
error,log,,,"The program file specified in the launch configuration does not exist",1300103631285
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300103631348
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300103631914
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1300103647126
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1300103667053
no handler,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1300103667998
no handler,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1300103668196
no handler,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1300103668366
no handler,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1300103669958
no handler,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1300103670174
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1300103671512
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1300103671949
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1300103677517
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1300103678651
